source_id,event_id,catalog_record_index,latitude_deg,longitude_deg,depth_km,strike_deg,dip_deg,rake_deg,mechanism_class,production_m0_dyne_cm,catalog_m0_dyne_cm,depth_bin,selection_seed,radiation_score,A_P_rms_proxy,A_P_near_node_fraction,A_S_rms_proxy,A_S_near_node_fraction,B_P_rms_proxy,B_P_near_node_fraction,B_S_rms_proxy,B_S_near_node_fraction,C_P_rms_proxy,C_P_near_node_fraction,C_S_rms_proxy,C_S_near_node_fraction
SRC001,C200504072004A,23243,0.00000000,0.00000000,12.0000,170.0,43.0,-91.0,normal,1.00000000e+26,3.7300000000000004e+25,0-70,20260911,3.89060969,0.92063184,0.00000000,0.41156315,0.00000000,0.91625555,0.00000000,0.38963371,0.00000000,0.91171919,0.00000000,0.34080625,0.00000000
SRC002,C200809101100A,29674,0.00000000,0.00000000,12.0000,234.0,33.0,76.0,thrust,1.00000000e+26,1.521e+25,0-70,20260911,4.29625274,1.01819196,0.00000000,0.48310971,0.00000000,0.58165656,0.00000000,0.74955365,0.00000000,0.84441061,0.00000000,0.61933026,0.00000000
SRC003,C201406231921A,41657,0.00000000,0.00000000,12.0000,154.0,10.0,27.0,strike_slip,1.00000000e+26,6.297000000000001e+25,0-70,20260911,1.06423639,0.05409758,0.65294118,0.78568514,0.00000000,0.49897714,0.00000000,0.67600749,0.00000000,0.08065214,0.22941176,0.73352279,0.00000000
SRC004,C202009261710A,56225,0.00000000,0.00000000,12.0000,108.0,61.0,-14.0,strike_slip,1.00000000e+26,2.497e+25,0-70,20260911,-0.39410393,0.32435011,0.00000000,0.29483138,0.00000000,0.24878636,0.00000000,0.15590325,0.00000000,0.01093586,1.00000000,0.57108910,0.00000000
SRC005,C202109211314A,58960,0.00000000,0.00000000,12.0000,6.0,16.0,86.0,thrust,1.00000000e+26,5.1860000000000004e+25,0-70,20260911,3.82684906,0.10378206,0.00000000,0.98425889,0.00000000,0.74125814,0.00000000,0.67013805,0.00000000,0.61655433,0.00000000,0.71085759,0.00000000
SRC006,C071104C,21640,0.00000000,0.00000000,14.0000,350.0,44.0,-87.0,normal,1.00000000e+26,1.8250000000000001e+25,0-70,20260911,3.84400990,0.88361631,0.00000000,0.47881837,0.00000000,0.90804358,0.00000000,0.37581987,0.00000000,0.95835369,0.00000000,0.23935808,0.00000000
SRC007,C201502162200A,43285,0.00000000,0.00000000,14.2000,100.0,19.0,32.0,thrust,1.00000000e+26,3.1040000000000003e+25,0-70,20260911,2.05310356,0.21345687,0.00000000,0.37863115,0.00000000,0.19819256,0.00000000,0.47293319,0.00000000,0.48981813,0.00000000,0.30007166,0.00000000
SRC008,C012795G,12274,0.00000000,0.00000000,15.0000,237.0,49.0,-16.0,strike_slip,1.00000000e+26,1.63e+26,0-70,20260911,2.76331345,0.11177928,0.00000000,0.79403013,0.00000000,0.57456130,0.00000000,0.59089639,0.00000000,0.26629882,0.00000000,0.42574753,0.00000000
SRC009,C032298B,15063,0.00000000,0.00000000,15.0000,342.0,40.0,-93.0,normal,1.00000000e+26,1.53e+25,0-70,20260911,3.91139294,0.74601236,0.00000000,0.69186465,0.00000000,0.91132798,0.00000000,0.36574119,0.00000000,0.96239913,0.00000000,0.23404763,0.00000000
SRC010,C032899F,15993,0.00000000,0.00000000,15.0000,280.0,7.0,75.0,thrust,1.00000000e+26,7.51e+25,0-70,20260911,3.98191793,0.13049582,0.19411765,1.12182770,0.00000000,0.26793343,0.00000000,1.15617531,0.00000000,0.79675748,0.00000000,0.89696348,0.00000000
SRC011,C050197D,14293,0.00000000,0.00000000,15.0000,288.0,77.0,174.0,strike_slip,1.00000000e+26,2.94e+26,0-70,20260911,1.56167165,0.16566441,0.00000000,0.28593759,0.00000000,0.14692476,0.00000000,0.21947592,0.00000000,0.19054648,0.00000000,0.55312249,0.00000000
SRC012,C061495B,12658,0.00000000,0.00000000,15.0000,127.0,34.0,-99.0,normal,1.00000000e+26,6.590000000000001e+25,0-70,20260911,3.90183844,0.86755805,0.00000000,0.48811066,0.00000000,0.87475983,0.00000000,0.44807947,0.00000000,0.69807224,0.00000000,0.52525820,0.00000000
SRC013,C071902C,19294,0.00000000,0.00000000,15.0000,25.0,73.0,-166.0,strike_slip,1.00000000e+26,1.3460000000000001e+25,0-70,20260911,1.42434269,0.37438519,0.00000000,0.47447767,0.00000000,0.07764990,0.05882353,0.15047076,0.00000000,0.09302620,0.10588235,0.58374472,0.00000000
SRC014,C100302C,19502,0.00000000,0.00000000,15.0000,306.0,79.0,-177.0,strike_slip,1.00000000e+26,6.330000000000001e+25,0-70,20260911,0.95226315,0.12779650,0.00000000,0.40614408,0.00000000,0.06280395,0.11764706,0.18232313,0.00000000,0.11798420,0.00000000,0.29050541,0.00000000
SRC015,C110492C,10571,0.00000000,0.00000000,15.0000,146.0,32.0,77.0,thrust,1.00000000e+26,4.46e+25,0-70,20260911,3.88151709,0.85082999,0.00000000,0.50424439,0.00000000,0.85936117,0.00000000,0.50001077,0.00000000,0.62411534,0.00000000,0.54295543,0.00000000
SRC016,C200508090526A,23872,0.00000000,0.00000000,15.0000,289.0,79.0,-177.0,strike_slip,1.00000000e+26,1.908e+25,0-70,20260911,-0.95247693,0.07805533,0.05294118,0.29466836,0.00000000,0.03122538,1.00000000,0.20403803,0.00000000,0.15943434,0.00000000,0.38598399,0.00000000
SRC017,C201602171726A,45410,0.00000000,0.00000000,15.5000,125.0,75.0,4.0,strike_slip,1.00000000e+26,1.8480000000000003e+25,0-70,20260911,0.13527182,0.17666313,0.00000000,0.50062664,0.00000000,0.05178673,0.17647059,0.06907030,0.47058824,0.21784396,0.00000000,0.41339870,0.00000000
SRC018,C020890A,8506,0.00000000,0.00000000,16.2000,237.0,36.0,87.0,thrust,1.00000000e+26,1.6100000000000002e+26,0-70,20260911,4.10620379,0.96671774,0.00000000,0.42955034,0.00000000,0.68367654,0.00000000,0.62106847,0.00000000,0.88044949,0.00000000,0.52474120,0.00000000
SRC019,C202503211450A,67888,0.00000000,0.00000000,16.4000,6.0,79.0,-180.0,strike_slip,1.00000000e+26,2.629e+25,0-70,20260911,-0.77939051,0.03564844,1.00000000,0.14700833,0.00000000,0.12535130,0.00000000,0.33458589,0.00000000,0.16033291,0.00000000,0.41768262,0.00000000
SRC020,C010900D,16738,0.00000000,0.00000000,17.7000,49.0,83.0,0.0,strike_slip,1.00000000e+26,4.8900000000000005e+25,0-70,20260911,0.25280615,0.13234650,0.00000000,0.38123352,0.00000000,0.08289910,0.00000000,0.27680985,0.00000000,0.05146876,0.44705882,0.22216607,0.00000000
SRC021,C052792A,10153,0.00000000,0.00000000,18.7000,168.0,35.0,-84.0,normal,1.00000000e+26,4.12e+26,0-70,20260911,3.99281671,0.99188945,0.00000000,0.22243507,0.00000000,0.73121542,0.00000000,0.70899850,0.00000000,0.76765986,0.00000000,0.57061842,0.00000000
SRC022,C100602F,19510,0.00000000,0.00000000,20.0000,78.0,21.0,90.0,thrust,1.00000000e+26,2.6000000000000003e+25,0-70,20260911,3.81287144,0.53880657,0.00000000,0.72973724,0.00000000,0.95838896,0.00000000,0.32158542,0.00000000,0.29238290,0.00000000,0.97197035,0.00000000
SRC023,C113095E,13079,0.00000000,0.00000000,21.7000,218.0,16.0,88.0,thrust,1.00000000e+26,2.5700000000000002e+25,0-70,20260911,3.42260744,0.83135658,0.00000000,0.66040383,0.00000000,0.08104515,0.21176471,0.86560830,0.00000000,0.51143728,0.00000000,0.89628571,0.00000000
SRC024,C200605262253A,25352,0.00000000,0.00000000,21.7000,323.0,77.0,-176.0,strike_slip,1.00000000e+26,4.81e+25,0-70,20260911,-0.71564851,0.12556701,0.00000000,0.41792992,0.00000000,0.16397657,0.00000000,0.34414763,0.00000000,0.04344110,0.96470588,0.11870103,0.00000000
SRC025,C201304201312A,39079,0.00000000,0.00000000,23.4000,216.0,28.0,92.0,thrust,1.00000000e+26,1.563e+25,0-70,20260911,4.02863516,0.94554218,0.00000000,0.44235206,0.00000000,0.50291397,0.00000000,0.67473749,0.00000000,0.76077864,0.00000000,0.70231081,0.00000000
SRC026,C100701B,18509,0.00000000,0.00000000,24.0000,157.0,76.0,-175.0,strike_slip,1.00000000e+26,1.7200000000000002e+25,0-70,20260911,-0.97191507,0.14099764,0.00000000,0.42655800,0.00000000,0.22714739,0.00000000,0.44877339,0.00000000,0.02292665,1.00000000,0.09109362,0.16470588
SRC027,C201412072116A,42835,0.00000000,0.00000000,25.8000,301.0,23.0,78.0,thrust,1.00000000e+26,1.492e+25,0-70,20260911,4.09495377,0.29035422,0.00000000,0.87187219,0.00000000,0.36769755,0.00000000,0.98912223,0.00000000,1.12936775,0.00000000,0.44653984,0.00000000
SRC028,C022395C,12346,0.00000000,0.00000000,27.9000,262.0,16.0,161.0,strike_slip,1.00000000e+26,2.3700000000000003e+25,0-70,20260911,0.84853297,0.05468995,0.70588235,0.52744338,0.00000000,0.54949398,0.00000000,0.47792901,0.00000000,0.13925681,0.05882353,0.62913160,0.00000000
SRC029,C030502H,18929,0.00000000,0.00000000,28.7000,314.0,25.0,70.0,thrust,1.00000000e+26,1.89e+27,0-70,20260911,4.18995083,0.15158891,0.00000000,0.99114220,0.00000000,0.57188452,0.00000000,0.82693988,0.00000000,1.10091858,0.00000000,0.54747674,0.00000000
SRC030,C200512210709A,24548,0.00000000,0.00000000,31.0000,259.0,31.0,140.0,thrust,1.00000000e+26,4.3270000000000005e+25,0-70,20260911,2.63658993,0.37396391,0.00000000,0.40559278,0.00000000,0.73445390,0.00000000,0.18798467,0.00000000,0.32342801,0.00000000,0.61116665,0.00000000
SRC031,C100994B,11982,0.00000000,0.00000000,33.2000,227.0,19.0,104.0,thrust,1.00000000e+26,9.210000000000001e+26,0-70,20260911,3.37072103,0.67765543,0.00000000,0.61770031,0.00000000,0.15566063,0.00000000,0.66947532,0.00000000,0.67797601,0.00000000,0.57225334,0.00000000
SRC032,C030296A,13285,0.00000000,0.00000000,36.0000,115.0,43.0,94.0,thrust,1.00000000e+26,1.7200000000000002e+25,0-70,20260911,4.04850805,0.91364957,0.00000000,0.38766961,0.00000000,0.81677366,0.00000000,0.59833300,0.00000000,0.77709013,0.00000000,0.55499209,0.00000000
SRC033,C202006181249A,55510,0.00000000,0.00000000,37.1000,124.0,66.0,-160.0,strike_slip,1.00000000e+26,1.529e+27,0-70,20260911,2.55254679,0.15779971,0.00000000,0.75050658,0.00000000,0.18655756,0.00000000,0.30479076,0.00000000,0.61248066,0.00000000,0.54041151,0.00000000
SRC034,C201306151734A,39390,0.00000000,0.00000000,39.4000,302.0,33.0,88.0,thrust,1.00000000e+26,5.37e+25,0-70,20260911,3.67240613,0.63825443,0.00000000,0.60143493,0.00000000,0.60694320,0.00000000,0.80622437,0.00000000,1.05643565,0.00000000,0.18664297,0.11176471
SRC035,C201904091754A,52690,0.00000000,0.00000000,42.6000,293.0,40.0,135.0,thrust,1.00000000e+26,8.068000000000001e+25,0-70,20260911,3.20250193,0.85079959,0.00000000,0.26911295,0.00000000,0.59700987,0.00000000,0.42893999,0.00000000,0.30732782,0.00000000,0.74931171,0.00000000
SRC036,C042194B,11596,0.00000000,0.00000000,46.0000,131.0,41.0,85.0,thrust,1.00000000e+26,1.13e+26,0-70,20260911,4.02686907,0.84554718,0.00000000,0.52430419,0.00000000,0.82675397,0.00000000,0.58035078,0.00000000,0.81287165,0.00000000,0.43704130,0.00000000
SRC037,C202409012013A,66492,0.00000000,0.00000000,49.4000,302.0,42.0,78.0,thrust,1.00000000e+26,4.702e+25,0-70,20260911,3.99092294,0.70781739,0.00000000,0.59214554,0.00000000,0.74601976,0.00000000,0.67083822,0.00000000,0.99640183,0.00000000,0.27770020,0.00000000
SRC038,C202011070927A,56503,0.00000000,0.00000000,56.0000,212.0,7.0,-158.0,strike_slip,1.00000000e+26,3.3260000000000005e+25,0-70,20260911,4.07950786,0.77731309,0.00000000,0.87025864,0.00000000,0.18859732,0.11764706,1.03096175,0.00000000,0.40371120,0.00000000,1.04395998,0.00000000
SRC039,C200701310315A,26655,0.00000000,0.00000000,56.1000,192.0,33.0,89.0,thrust,1.00000000e+26,6.883000000000001e+25,0-70,20260911,3.99754768,0.97105370,0.00000000,0.29958095,0.00000000,0.64514931,0.00000000,0.65058844,0.00000000,0.68711114,0.00000000,0.74406414,0.00000000
SRC040,C200504111708A,23284,0.00000000,0.00000000,78.3000,351.0,37.0,-150.0,strike_slip,1.00000000e+26,1.582e+26,70-150,20260911,3.19680623,0.15836538,0.00588235,0.77036661,0.00000000,0.90366247,0.00000000,0.51668043,0.00000000,0.16254778,0.00000000,0.69694826,0.00000000
SRC041,C051200D,17062,0.00000000,0.00000000,105.6000,118.0,18.0,-27.0,strike_slip,1.00000000e+26,3.2200000000000004e+25,70-150,20260911,4.70505590,0.79435390,0.00000000,0.97236501,0.00000000,0.38307249,0.00000000,0.98478839,0.00000000,0.48783577,0.00000000,1.08264034,0.00000000
SRC042,C013191B,9294,0.00000000,0.00000000,126.1000,247.0,17.0,68.0,thrust,1.00000000e+26,2.28e+26,70-150,20260911,4.73828055,0.80929875,0.00000000,0.96887849,0.00000000,0.24892489,0.00000000,1.11028597,0.00000000,0.75358169,0.00000000,0.84731077,0.00000000
SRC043,C201506101352A,43956,0.00000000,0.00000000,146.8000,136.0,40.0,-79.0,normal,1.00000000e+26,1.696e+25,70-150,20260911,4.05419549,0.98525936,0.00000000,0.36677596,0.00000000,0.73879633,0.00000000,0.72381176,0.00000000,0.70429795,0.00000000,0.53525414,0.00000000
SRC044,C202002131033B,54719,0.00000000,0.00000000,150.9000,100.0,15.0,-50.0,normal,1.00000000e+26,3.692e+26,150-300,20260911,5.18404726,0.55995275,0.00000000,1.13364920,0.00000000,0.87770928,0.00000000,0.90638042,0.00000000,0.46033579,0.00000000,1.24601982,0.00000000
SRC045,C202301180034A,62447,0.00000000,0.00000000,151.9000,242.0,31.0,84.0,thrust,1.00000000e+26,1.805e+25,150-300,20260911,4.14332976,0.94670369,0.00000000,0.56398241,0.00000000,0.41382257,0.00000000,0.80632594,0.00000000,0.84714941,0.00000000,0.56534575,0.00000000
SRC046,C201405042018A,41325,0.00000000,0.00000000,165.2000,333.0,21.0,-150.0,strike_slip,1.00000000e+26,1.4610000000000003e+25,150-300,20260911,4.21269752,0.36352899,0.00000000,1.06077585,0.00000000,0.77067582,0.00000000,0.74335075,0.00000000,0.44298632,0.00000000,0.83137979,0.00000000
SRC047,C202010230704A,56405,0.00000000,0.00000000,467.1000,75.0,7.0,168.0,strike_slip,1.00000000e+26,1.8300000000000003e+25,300-500,20260911,4.47385867,0.38434457,0.00000000,0.96929771,0.00000000,0.91572379,0.00000000,0.78089185,0.00000000,0.45340229,0.00000000,0.97019846,0.00000000
SRC048,C200809031125A,29645,0.00000000,0.00000000,571.3000,26.0,21.0,-36.0,normal,1.00000000e+26,3.3310000000000003e+25,500-700,20260911,4.28614273,0.55643452,0.00000000,0.99299483,0.00000000,0.51944966,0.00000000,0.74251907,0.00000000,0.88766662,0.00000000,0.58707805,0.00000000
SRC049,C201205280507A,37040,0.00000000,0.00000000,591.6000,28.0,23.0,-44.0,normal,1.00000000e+26,1.2640000000000001e+26,500-700,20260911,4.30091742,0.48867730,0.00000000,1.03485296,0.00000000,0.68724034,0.00000000,0.68042306,0.00000000,0.86310895,0.00000000,0.54661482,0.00000000
