source_i,source_j,absolute_tensor_correlation,mechanism_distance
SRC001,SRC002,0.41951997,0.58048003
SRC001,SRC003,0.19238775,0.80761225
SRC001,SRC004,0.22351322,0.77648678
SRC001,SRC005,0.91736736,0.08263264
SRC001,SRC006,0.99605357,0.00394643
SRC001,SRC007,0.30785235,0.69214765
SRC001,SRC008,0.43072143,0.56927857
SRC001,SRC009,0.99098782,0.00901218
SRC001,SRC010,0.06712214,0.93287786
SRC001,SRC011,0.35860868,0.64139132
SRC001,SRC012,0.72200417,0.27799583
SRC001,SRC013,0.32411319,0.67588681
SRC001,SRC014,0.50531894,0.49468106
SRC001,SRC015,0.83781058,0.16218942
SRC001,SRC016,0.42168112,0.57831888
SRC001,SRC017,0.51093931,0.48906069
SRC001,SRC018,0.51126874,0.48873126
SRC001,SRC019,0.24617910,0.75382090
SRC001,SRC020,0.44592452,0.55407548
SRC001,SRC021,0.99311220,0.00688780
SRC001,SRC022,0.29728399,0.70271601
SRC001,SRC023,0.39002848,0.60997152
SRC001,SRC024,0.42941226,0.57058774
SRC001,SRC025,0.65053957,0.34946043
SRC001,SRC026,0.27091460,0.72908540
SRC001,SRC027,0.48642167,0.51357833
SRC001,SRC028,0.13939269,0.86060731
SRC001,SRC029,0.74624998,0.25375002
SRC001,SRC030,0.39741414,0.60258586
SRC001,SRC031,0.46575910,0.53424090
SRC001,SRC032,0.63518285,0.36481715
SRC001,SRC033,0.62920866,0.37079134
SRC001,SRC034,0.63104928,0.36895072
SRC001,SRC035,0.23859595,0.76140405
SRC001,SRC036,0.81237921,0.18762079
SRC001,SRC037,0.76713120,0.23286880
SRC001,SRC038,0.00292525,0.99707475
SRC001,SRC039,0.91914790,0.08085210
SRC001,SRC040,0.51048779,0.48951221
SRC001,SRC041,0.06509577,0.93490423
SRC001,SRC042,0.14354711,0.85645289
SRC001,SRC043,0.76900732,0.23099268
SRC001,SRC044,0.14339250,0.85660750
SRC001,SRC045,0.40511834,0.59488166
SRC001,SRC046,0.57843605,0.42156395
SRC001,SRC047,0.05889556,0.94110444
SRC001,SRC048,0.48730744,0.51269256
SRC001,SRC049,0.56662616,0.43337384
SRC001,SRC050,0.05328405,0.94671595
SRC002,SRC003,0.51330532,0.48669468
SRC002,SRC004,0.57840957,0.42159043
SRC002,SRC005,0.35263455,0.64736545
SRC002,SRC006,0.44649683,0.55350317
SRC002,SRC007,0.11196638,0.88803362
SRC002,SRC008,0.21222333,0.78777667
SRC002,SRC009,0.43185447,0.56814553
SRC002,SRC010,0.64278600,0.35721400
SRC002,SRC011,0.35734416,0.64265584
SRC002,SRC012,0.11192488,0.88807512
SRC002,SRC013,0.57752141,0.42247859
SRC002,SRC014,0.41130882,0.58869118
SRC002,SRC015,0.03645147,0.96354853
SRC002,SRC016,0.43949764,0.56050236
SRC002,SRC017,0.35754619,0.64245381
SRC002,SRC018,0.97399763,0.02600237
SRC002,SRC019,0.33452469,0.66547531
SRC002,SRC020,0.24847355,0.75152645
SRC002,SRC021,0.39455542,0.60544458
SRC002,SRC022,0.05421789,0.94578211
SRC002,SRC023,0.90240367,0.09759633
SRC002,SRC024,0.26744207,0.73255793
SRC002,SRC025,0.90853374,0.09146626
SRC002,SRC026,0.03188995,0.96811005
SRC002,SRC027,0.70944807,0.29055193
SRC002,SRC028,0.00602119,0.99397881
SRC002,SRC029,0.56443679,0.43556321
SRC002,SRC030,0.58996686,0.41003314
SRC002,SRC031,0.90692193,0.09307807
SRC002,SRC032,0.51965388,0.48034612
SRC002,SRC033,0.14228781,0.85771219
SRC002,SRC034,0.70074477,0.29925523
SRC002,SRC035,0.71651772,0.28348228
SRC002,SRC036,0.31259512,0.68740488
SRC002,SRC037,0.46738656,0.53261344
SRC002,SRC038,0.48212581,0.51787419
SRC002,SRC039,0.63791767,0.36208233
SRC002,SRC040,0.03399014,0.96600986
SRC002,SRC041,0.15306577,0.84693423
SRC002,SRC042,0.81879358,0.18120642
SRC002,SRC043,0.42188833,0.57811167
SRC002,SRC044,0.22879498,0.77120502
SRC002,SRC045,0.99584734,0.00415266
SRC002,SRC046,0.26886863,0.73113137
SRC002,SRC047,0.49332854,0.50667146
SRC002,SRC048,0.12951560,0.87048440
SRC002,SRC049,0.08281096,0.91718904
SRC002,SRC050,0.32329140,0.67670860
SRC003,SRC004,0.18662712,0.81337288
SRC003,SRC005,0.44099018,0.55900982
SRC003,SRC006,0.12055525,0.87944475
SRC003,SRC007,0.36369057,0.63630943
SRC003,SRC008,0.74932759,0.25067241
SRC003,SRC009,0.11781218,0.88218782
SRC003,SRC010,0.93237416,0.06762584
SRC003,SRC011,0.07804549,0.92195451
SRC003,SRC012,0.52916745,0.47083255
SRC003,SRC013,0.23468399,0.76531601
SRC003,SRC014,0.28165340,0.71834660
SRC003,SRC015,0.61097394,0.38902606
SRC003,SRC016,0.12441723,0.87558277
SRC003,SRC017,0.18591876,0.81408124
SRC003,SRC018,0.31223154,0.68776846
SRC003,SRC019,0.08521690,0.91478310
SRC003,SRC020,0.24961058,0.75038942
SRC003,SRC021,0.17905531,0.82094469
SRC003,SRC022,0.84094882,0.15905118
SRC003,SRC023,0.72846842,0.27153158
SRC003,SRC024,0.39781100,0.60218900
SRC003,SRC025,0.34175299,0.65824701
SRC003,SRC026,0.32550224,0.67449776
SRC003,SRC027,0.64790482,0.35209518
SRC003,SRC028,0.56460162,0.43539838
SRC003,SRC029,0.33703011,0.66296989
SRC003,SRC030,0.27839428,0.72160572
SRC003,SRC031,0.58586267,0.41413733
SRC003,SRC032,0.11547617,0.88452383
SRC003,SRC033,0.03923775,0.96076225
SRC003,SRC034,0.39982265,0.60017735
SRC003,SRC035,0.22526287,0.77473713
SRC003,SRC036,0.26889111,0.73110889
SRC003,SRC037,0.01284033,0.98715967
SRC003,SRC038,0.60834907,0.39165093
SRC003,SRC039,0.04852183,0.95147817
SRC003,SRC040,0.68049381,0.31950619
SRC003,SRC041,0.20509312,0.79490688
SRC003,SRC042,0.89933957,0.10066043
SRC003,SRC043,0.11943816,0.88056184
SRC003,SRC044,0.80889710,0.19110290
SRC003,SRC045,0.54414054,0.45585946
SRC003,SRC046,0.87968933,0.12031067
SRC003,SRC047,0.94484744,0.05515256
SRC003,SRC048,0.53191554,0.46808446
SRC003,SRC049,0.61807809,0.38192191
SRC003,SRC050,0.55217723,0.44782277
SRC004,SRC005,0.01882146,0.98117854
SRC004,SRC006,0.24502617,0.75497383
SRC004,SRC007,0.54427891,0.45572109
SRC004,SRC008,0.21177003,0.78822997
SRC004,SRC009,0.25451571,0.74548429
SRC004,SRC010,0.05649401,0.94350599
SRC004,SRC011,0.91677595,0.08322405
SRC004,SRC012,0.21732934,0.78267066
SRC004,SRC013,0.97628725,0.02371275
SRC004,SRC014,0.82688689,0.17311311
