event_id,depth_bin_km,mechanism_class,candidate_quantile_index,radiation_score,selection_rank,selected,A_P_rms_proxy,A_P_near_node_fraction,A_S_rms_proxy,A_S_near_node_fraction,B_P_rms_proxy,B_P_near_node_fraction,B_S_rms_proxy,B_S_near_node_fraction,C_P_rms_proxy,C_P_near_node_fraction,C_S_rms_proxy,C_S_near_node_fraction
C202011070927A,0-70,strike_slip,1258,4.07950786,1,true,0.77731309,0.00000000,0.87025864,0.00000000,0.18859732,0.11764706,1.03096175,0.00000000,0.40371120,0.00000000,1.04395998,0.00000000
C012795G,0-70,strike_slip,419,2.76331345,2,true,0.11177928,0.00000000,0.79403013,0.00000000,0.57456130,0.00000000,0.59089639,0.00000000,0.26629882,0.00000000,0.42574753,0.00000000
C202006181249A,0-70,strike_slip,1194,2.55254679,3,true,0.15779971,0.00000000,0.75050658,0.00000000,0.18655756,0.00000000,0.30479076,0.00000000,0.61248066,0.00000000,0.54041151,0.00000000
C050197D,0-70,strike_slip,484,1.56167165,4,true,0.16566441,0.00000000,0.28593759,0.00000000,0.14692476,0.00000000,0.21947592,0.00000000,0.19054648,0.00000000,0.55312249,0.00000000
C071902C,0-70,strike_slip,548,1.42434269,5,true,0.37438519,0.00000000,0.47447767,0.00000000,0.07764990,0.05882353,0.15047076,0.00000000,0.09302620,0.10588235,0.58374472,0.00000000
C201406231921A,0-70,strike_slip,96,1.06423639,6,true,0.05409758,0.65294118,0.78568514,0.00000000,0.49897714,0.00000000,0.67600749,0.00000000,0.08065214,0.22941176,0.73352279,0.00000000
C100302C,0-70,strike_slip,613,0.95226315,7,true,0.12779650,0.00000000,0.40614408,0.00000000,0.06280395,0.11764706,0.18232313,0.00000000,0.11798420,0.00000000,0.29050541,0.00000000
C022395C,0-70,strike_slip,1129,0.84853297,8,true,0.05468995,0.70588235,0.52744338,0.00000000,0.54949398,0.00000000,0.47792901,0.00000000,0.13925681,0.05882353,0.62913160,0.00000000
C010900D,0-70,strike_slip,871,0.25280615,9,true,0.13234650,0.00000000,0.38123352,0.00000000,0.08289910,0.00000000,0.27680985,0.00000000,0.05146876,0.44705882,0.22216607,0.00000000
C201602171726A,0-70,strike_slip,742,0.13527182,10,true,0.17666313,0.00000000,0.50062664,0.00000000,0.05178673,0.17647059,0.06907030,0.47058824,0.21784396,0.00000000,0.41339870,0.00000000
C202009261710A,0-70,strike_slip,161,-0.39410393,11,true,0.32435011,0.00000000,0.29483138,0.00000000,0.24878636,0.00000000,0.15590325,0.00000000,0.01093586,1.00000000,0.57108910,0.00000000
C200605262253A,0-70,strike_slip,1000,-0.71564851,12,true,0.12556701,0.00000000,0.41792992,0.00000000,0.16397657,0.00000000,0.34414763,0.00000000,0.04344110,0.96470588,0.11870103,0.00000000
C202503211450A,0-70,strike_slip,806,-0.77939051,13,true,0.03564844,1.00000000,0.14700833,0.00000000,0.12535130,0.00000000,0.33458589,0.00000000,0.16033291,0.00000000,0.41768262,0.00000000
C200508090526A,0-70,strike_slip,677,-0.95247693,14,true,0.07805533,0.05294118,0.29466836,0.00000000,0.03122538,1.00000000,0.20403803,0.00000000,0.15943434,0.00000000,0.38598399,0.00000000
C100701B,0-70,strike_slip,1065,-0.97191507,15,true,0.14099764,0.00000000,0.42655800,0.00000000,0.22714739,0.00000000,0.44877339,0.00000000,0.02292665,1.00000000,0.09109362,0.16470588
C201912061304A,0-70,strike_slip,290,-1.01721306,16,false,0.13120667,0.00000000,0.35102433,0.00000000,0.01024459,1.00000000,0.11228478,0.00000000,0.07270979,0.00000000,0.30531679,0.00000000
C202504160142A,0-70,strike_slip,225,-1.07383039,17,false,0.08267220,0.00000000,0.30544337,0.00000000,0.01141167,1.00000000,0.13390457,0.00000000,0.09514018,0.00000000,0.29759762,0.00000000
C200503261540A,0-70,strike_slip,935,-1.25586828,18,false,0.05896086,0.16470588,0.27198271,0.00000000,0.08946787,0.05882353,0.33061304,0.00000000,0.02609084,0.92941176,0.27289875,0.00000000
C200701200621A,0-70,strike_slip,32,-2.26973061,19,false,0.14047365,0.00000000,0.41203785,0.00000000,0.14846459,0.00000000,0.38465380,0.00000000,0.01777287,1.00000000,0.05039604,0.71176471
