station_id,network,latitude_deg,longitude_deg,elevation_m,burial_m,sector,base_station_id,distance_deg,initial_azimuth_deg
AU090AM20p0,AX,20.00000000,90.00000000,0.0,0.0,A,U090AM20p0,90.00000000,70.00000000
AU090AM15p0,AX,15.00000000,90.00000000,0.0,0.0,A,U090AM15p0,90.00000000,75.00000000
AU090AM10p0,AX,10.00000000,90.00000000,0.0,0.0,A,U090AM10p0,90.00000000,80.00000000
AU090AM05p0,AX,5.00000000,90.00000000,0.0,0.0,A,U090AM05p0,90.00000000,85.00000000
AU090AM03p5,AX,3.50000000,90.00000000,0.0,0.0,A,U090AM03p5,90.00000000,86.50000000
AU090AM03p0,AX,3.00000000,90.00000000,0.0,0.0,A,U090AM03p0,90.00000000,87.00000000
AU090AM02p5,AX,2.50000000,90.00000000,0.0,0.0,A,U090AM02p5,90.00000000,87.50000000
AU090AM02p0,AX,2.00000000,90.00000000,0.0,0.0,A,U090AM02p0,90.00000000,88.00000000
AU090AP00p0,AX,0.00000000,90.00000000,0.0,0.0,A,U090AP00p0,90.00000000,90.00000000
AU090AP02p0,AX,-2.00000000,90.00000000,0.0,0.0,A,U090AP02p0,90.00000000,92.00000000
AU090AP02p5,AX,-2.50000000,90.00000000,0.0,0.0,A,U090AP02p5,90.00000000,92.50000000
AU090AP03p0,AX,-3.00000000,90.00000000,0.0,0.0,A,U090AP03p0,90.00000000,93.00000000
AU090AP03p5,AX,-3.50000000,90.00000000,0.0,0.0,A,U090AP03p5,90.00000000,93.50000000
AU090AP05p0,AX,-5.00000000,90.00000000,0.0,0.0,A,U090AP05p0,90.00000000,95.00000000
AU090AP10p0,AX,-10.00000000,90.00000000,0.0,0.0,A,U090AP10p0,90.00000000,100.00000000
AU090AP15p0,AX,-15.00000000,90.00000000,0.0,0.0,A,U090AP15p0,90.00000000,105.00000000
AU090AP20p0,AX,-20.00000000,90.00000000,0.0,0.0,A,U090AP20p0,90.00000000,110.00000000
AU095AM20p0,AX,19.92066436,95.31910334,0.0,0.0,A,U095AM20p0,95.00000000,70.00000000
AU095AM15p0,AX,14.94158761,95.17543923,0.0,0.0,A,U095AM15p0,95.00000000,75.00000000
AU095AM10p0,AX,9.96155810,95.07673302,0.0,0.0,A,U095AM10p0,95.00000000,80.00000000
AU095AM05p0,AX,4.98092532,95.01900182,0.0,0.0,A,U095AM05p0,95.00000000,85.00000000
AU095AM03p5,AX,3.48666495,95.00929594,0.0,0.0,A,U095AM03p5,95.00000000,86.50000000
AU095AM03p0,AX,2.98857371,95.00682688,0.0,0.0,A,U095AM03p0,95.00000000,87.00000000
AU095AM02p5,AX,2.49048074,95.00473924,0.0,0.0,A,U095AM02p5,95.00000000,87.50000000
AU095AM02p0,AX,1.99238632,95.00303226,0.0,0.0,A,U095AM02p0,95.00000000,88.00000000
AU095AP00p0,AX,0.00000000,95.00000000,0.0,0.0,A,U095AP00p0,95.00000000,90.00000000
AU095AP02p0,AX,-1.99238632,95.00303226,0.0,0.0,A,U095AP02p0,95.00000000,92.00000000
AU095AP02p5,AX,-2.49048074,95.00473924,0.0,0.0,A,U095AP02p5,95.00000000,92.50000000
AU095AP03p0,AX,-2.98857371,95.00682688,0.0,0.0,A,U095AP03p0,95.00000000,93.00000000
