run_id,source_id,sector,ulvz_instance_id,body_index,position_id,base_position_id,latitude_deg,longitude_deg,family_id,parameter_source,old_type,old_tier,source_role,radius_km,thickness_km,dVs_percent,dVp_percent,dRho_percent,lateral_taper_km,top_taper_km,evidence_source
SRC001_TRIULVZ,SRC001,A,ULVZ071,1,A_G07,G07,-2.50000000,52.00000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-10.5682,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC002_TRIULVZ,SRC002,A,ULVZ096,1,A_G01,G01,-0.50000000,49.50000000,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,18.4091,-28.4091,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC003_TRIULVZ,SRC003,A,ULVZ011,1,A_G08,G08,2.50000000,50.00000000,F_legacy_anchor,legacy_parameter_anchor,C4,core,core,400.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC004_TRIULVZ,SRC004,A,ULVZ030,1,A_G07,G07,-2.50000000,52.00000000,F_legacy_anchor,legacy_parameter_anchor,X1,challenge,challenge,655.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC005_TRIULVZ,SRC005,A,ULVZ026,1,A_G05,G05,0.00000000,59.50000000,F_legacy_anchor,legacy_parameter_anchor,H2,heldout,heldout,400.0000,15.0000,-25.0000,-15.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC006_TRIULVZ,SRC006,A,ULVZ014,1,A_G04,G04,0.00000000,55.50000000,F_legacy_anchor,legacy_parameter_anchor,C5,core,core,400.0000,15.0000,-25.0000,-10.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC007_TRIULVZ,SRC007,A,ULVZ119,1,A_G06,G06,0.00000000,62.50000000,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,220.4412,11.4706,-28.5294,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC008_TRIULVZ,SRC008,A,ULVZ146,1,A_G02,G02,0.50000000,52.50000000,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,40.7353,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
SRC009_TRIULVZ,SRC009,A,ULVZ008,1,A_G01,G01,-0.50000000,49.50000000,F_legacy_anchor,legacy_parameter_anchor,C3,core,core,655.0000,50.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC010_TRIULVZ,SRC010,A,ULVZ059,1,A_G01,G01,-0.50000000,49.50000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-2.3864,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC011_TRIULVZ,SRC011,A,ULVZ111,1,A_G07,G07,-2.50000000,52.00000000,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,13.5294,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC012_TRIULVZ,SRC012,A,ULVZ050,1,A_G05,G05,0.00000000,59.50000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC013_TRIULVZ,SRC013,A,ULVZ107,1,A_G08,G08,2.50000000,50.00000000,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,8.8235,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC014_TRIULVZ,SRC014,A,ULVZ021,1,A_G03,G03,0.00000000,46.50000000,F_legacy_anchor,legacy_parameter_anchor,C7,core,core,240.0000,15.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC015_TRIULVZ,SRC015,A,ULVZ122,1,A_G04,G04,0.00000000,55.50000000,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,268.9706,13.2353,-26.7647,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC016_TRIULVZ,SRC016,A,ULVZ046,1,A_G02,G02,0.50000000,52.50000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-21.3636,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC017_TRIULVZ,SRC017,A,ULVZ018,1,A_G07,G07,-2.50000000,52.00000000,F_legacy_anchor,legacy_parameter_anchor,C6,core,core,240.0000,15.0000,-10.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC018_TRIULVZ,SRC018,A,ULVZ072,1,A_G07,G07,-2.50000000,52.00000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-11.2500,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC019_TRIULVZ,SRC019,A,ULVZ017,1,A_G08,G08,2.50000000,50.00000000,F_legacy_anchor,legacy_parameter_anchor,C6,core,core,240.0000,15.0000,-10.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC020_TRIULVZ,SRC020,A,ULVZ056,1,A_G06,G06,0.00000000,62.50000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-0.3409,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC021_TRIULVZ,SRC021,A,ULVZ117,1,A_G05,G05,0.00000000,59.50000000,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,188.0882,10.2941,-29.7059,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC022_TRIULVZ,SRC022,A,ULVZ141,1,A_G06,G06,0.00000000,62.50000000,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,30.4412,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
SRC023_TRIULVZ,SRC023,A,ULVZ066,1,A_G03,G03,0.00000000,46.50000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-7.1591,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC024_TRIULVZ,SRC024,A,ULVZ109,1,A_G02,G02,0.50000000,52.50000000,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,11.1765,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC025_TRIULVZ,SRC025,A,ULVZ077,1,A_G08,G08,2.50000000,50.00000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-14.6591,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC026_TRIULVZ,SRC026,A,ULVZ005,1,A_G07,G07,-2.50000000,52.00000000,F_legacy_anchor,legacy_parameter_anchor,C2,core,core,655.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC027_TRIULVZ,SRC027,A,ULVZ113,1,A_G02,G02,0.50000000,52.50000000,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,15.8824,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC028_TRIULVZ,SRC028,A,ULVZ116,1,A_G05,G05,0.00000000,59.50000000,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,19.4118,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC029_TRIULVZ,SRC029,A,ULVZ052,1,A_G07,G07,-2.50000000,52.00000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-26.8182,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC030_TRIULVZ,SRC030,A,ULVZ057,1,A_G04,G04,0.00000000,55.50000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-1.0227,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC031_TRIULVZ,SRC031,A,ULVZ112,1,A_G01,G01,-0.50000000,49.50000000,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,14.7059,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC032_TRIULVZ,SRC032,A,ULVZ034,1,A_G08,G08,2.50000000,50.00000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-10.4545,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC033_TRIULVZ,SRC033,A,ULVZ049,1,A_G06,G06,0.00000000,62.50000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-24.0909,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC034_TRIULVZ,SRC034,A,ULVZ147,1,A_G08,G08,2.50000000,50.00000000,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,42.7941,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
SRC035_TRIULVZ,SRC035,A,ULVZ091,1,A_G05,G05,0.00000000,59.50000000,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,16.1364,-26.1364,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC036_TRIULVZ,SRC036,A,ULVZ110,1,A_G04,G04,0.00000000,55.50000000,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,12.3529,0.0000,0.0000,S04_DRHO10/S05_DRHO20; density is sensitivity input
SRC037_TRIULVZ,SRC037,A,ULVZ029,1,A_G02,G02,0.50000000,52.50000000,F_legacy_anchor,legacy_parameter_anchor,X1,challenge,challenge,655.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC038_TRIULVZ,SRC038,A,ULVZ127,1,A_G06,G06,0.00000000,62.50000000,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,349.8529,16.1765,-23.8235,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC039_TRIULVZ,SRC039,A,ULVZ088,1,A_G04,G04,0.00000000,55.50000000,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,14.7727,-24.7727,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC040_TRIULVZ,SRC040,A,ULVZ097,1,A_G01,G01,-0.50000000,49.50000000,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,18.8636,-28.8636,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC041_TRIULVZ,SRC041,A,ULVZ092,1,A_G06,G06,0.00000000,62.50000000,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,16.5909,-26.5909,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC042_TRIULVZ,SRC042,A,ULVZ082,1,A_G02,G02,0.50000000,52.50000000,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,12.0455,-22.0455,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC043_TRIULVZ,SRC043,A,ULVZ144,1,A_G03,G03,0.00000000,46.50000000,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,36.6176,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
SRC044_TRIULVZ,SRC044,A,ULVZ041,1,A_G01,G01,-0.50000000,49.50000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-16.8182,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC045_TRIULVZ,SRC045,A,ULVZ132,1,A_G05,G05,0.00000000,59.50000000,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,430.7353,19.1176,-20.8824,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC046_TRIULVZ,SRC046,A,ULVZ035,1,A_G03,G03,0.00000000,46.50000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-11.3636,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC047_TRIULVZ,SRC047,A,ULVZ143,1,A_G04,G04,0.00000000,55.50000000,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,34.5588,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
SRC048_TRIULVZ,SRC048,A,ULVZ053,1,A_G03,G03,0.00000000,46.50000000,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-27.7273,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC049_TRIULVZ,SRC049,A,ULVZ058,1,A_G01,G01,-0.50000000,49.50000000,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-1.7045,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC050_TRIULVZ,SRC050,A,ULVZ010,1,A_G04,G04,0.00000000,55.50000000,F_legacy_anchor,legacy_parameter_anchor,C4,core,core,400.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC001_TRIULVZ,SRC001,B,ULVZ120,2,B_G08,G08,-43.20354590,-28.23813616,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,236.6176,12.0588,-27.9412,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC002_TRIULVZ,SRC002,B,ULVZ068,2,B_G02,G02,-43.74113282,-32.58662529,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-8.5227,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC003_TRIULVZ,SRC003,B,ULVZ139,2,B_G04,G04,-45.53792330,-36.03605854,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,26.3235,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
SRC004_TRIULVZ,SRC004,B,ULVZ060,2,B_G04,G04,-45.53792330,-36.03605854,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-3.0682,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC005_TRIULVZ,SRC005,B,ULVZ038,2,B_G03,G03,-38.91690376,-27.78430053,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-14.0909,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC006_TRIULVZ,SRC006,B,ULVZ140,2,B_G07,G07,-41.29820323,-35.04531474,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,28.3824,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
SRC007_TRIULVZ,SRC007,B,ULVZ009,2,B_G06,G06,-50.19019001,-43.84549898,F_legacy_anchor,legacy_parameter_anchor,C3,core,core,655.0000,50.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC008_TRIULVZ,SRC008,B,ULVZ013,2,B_G06,G06,-50.19019001,-43.84549898,F_legacy_anchor,legacy_parameter_anchor,C5,core,core,400.0000,15.0000,-25.0000,-10.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC009_TRIULVZ,SRC009,B,ULVZ083,2,B_G01,G01,-40.85466479,-30.83981523,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,12.5000,-22.5000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC010_TRIULVZ,SRC010,B,ULVZ123,2,B_G04,G04,-45.53792330,-36.03605854,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,285.1471,13.8235,-26.1765,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC011_TRIULVZ,SRC011,B,ULVZ125,2,B_G07,G07,-41.29820323,-35.04531474,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,317.5000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC012_TRIULVZ,SRC012,B,ULVZ075,2,B_G04,G04,-45.53792330,-36.03605854,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-13.2955,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z
SRC013_TRIULVZ,SRC013,B,ULVZ003,2,B_G03,G03,-38.91690376,-27.78430053,F_legacy_anchor,legacy_parameter_anchor,C1,core,core,240.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,A+ production type provenance
SRC014_TRIULVZ,SRC014,B,ULVZ079,2,B_G02,G02,-43.74113282,-32.58662529,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,10.6818,-20.6818,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC015_TRIULVZ,SRC015,B,ULVZ118,2,B_G06,G06,-50.19019001,-43.84549898,F_small_medium_tradeoff,survey_family_sample,NONE,,project_sensitivity,204.2647,10.8824,-29.1176,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E104; project sensitivity assumption after location decoupling
SRC016_TRIULVZ,SRC016,B,ULVZ098,2,B_G08,G08,-43.20354590,-28.23813616,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,19.3182,-29.3182,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC017_TRIULVZ,SRC017,B,ULVZ086,2,B_G06,G06,-50.19019001,-43.84549898,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,13.8636,-23.8636,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E152; batch_02::B02-E104
SRC018_TRIULVZ,SRC018,B,ULVZ043,2,B_G05,G05,-48.26164894,-40.32564815,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-18.6364,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC019_TRIULVZ,SRC019,B,ULVZ045,2,B_G01,G01,-40.85466479,-30.83981523,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-20.4545,0.0000,0.0000,0.0000,0.0000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z
SRC020_TRIULVZ,SRC020,B,ULVZ135,2,B_G01,G01,-40.85466479,-30.83981523,F_mega_height,survey_family_sample,NONE,,project_sensitivity,655.0000,18.0882,-20.0000,0.0000,0.0000,0.0000,0.0000,batch_02::B02-E065; pilot::E004
