run_id,body_i,body_j,center_distance_km,support_radius_i_km,support_radius_j_km,clearance_km,status
SRC001_TRIULVZ,1,2,4930.648776,400.0000,236.6176,4294.031176,PASS
SRC001_TRIULVZ,1,3,5491.254382,400.0000,240.0000,4851.254382,PASS
SRC001_TRIULVZ,2,3,5406.364673,236.6176,240.0000,4929.747073,PASS
SRC002_TRIULVZ,1,2,5098.559006,240.0000,400.0000,4458.559006,PASS
SRC002_TRIULVZ,1,3,5481.982314,240.0000,240.0000,5001.982314,PASS
SRC002_TRIULVZ,2,3,5603.270871,400.0000,240.0000,4963.270871,PASS
SRC003_TRIULVZ,1,2,5406.364673,400.0000,655.0000,4351.364673,PASS
SRC003_TRIULVZ,1,3,5499.050390,400.0000,240.0000,4859.050390,PASS
SRC003_TRIULVZ,2,3,5828.831837,655.0000,240.0000,4933.831837,PASS
SRC004_TRIULVZ,1,2,5274.479775,655.0000,400.0000,4219.479775,PASS
SRC004_TRIULVZ,1,3,5340.934445,655.0000,655.0000,4030.934445,PASS
SRC004_TRIULVZ,2,3,5189.398155,400.0000,655.0000,4134.398155,PASS
SRC005_TRIULVZ,1,2,5338.053685,400.0000,240.0000,4698.053685,PASS
SRC005_TRIULVZ,1,3,5447.024136,400.0000,240.0000,4807.024136,PASS
SRC005_TRIULVZ,2,3,5081.186924,240.0000,240.0000,4601.186924,PASS
SRC006_TRIULVZ,1,2,5491.254382,400.0000,655.0000,4436.254382,PASS
SRC006_TRIULVZ,1,3,5149.293335,400.0000,240.0000,4509.293335,PASS
SRC006_TRIULVZ,2,3,4888.608777,655.0000,240.0000,3993.608777,PASS
SRC007_TRIULVZ,1,2,6096.849113,220.4412,655.0000,5221.407913,PASS
SRC007_TRIULVZ,1,3,5479.806458,220.4412,240.0000,5019.365258,PASS
SRC007_TRIULVZ,2,3,5479.806458,655.0000,240.0000,4584.806458,PASS
SRC008_TRIULVZ,1,2,5736.211249,655.0000,400.0000,4681.211249,PASS
SRC008_TRIULVZ,1,3,5271.935093,655.0000,240.0000,4376.935093,PASS
SRC008_TRIULVZ,2,3,5689.437311,400.0000,240.0000,5049.437311,PASS
SRC009_TRIULVZ,1,2,5003.468963,655.0000,240.0000,4108.468963,PASS
SRC009_TRIULVZ,1,3,5146.586936,655.0000,240.0000,4251.586936,PASS
SRC009_TRIULVZ,2,3,4904.426223,240.0000,240.0000,4424.426223,PASS
SRC010_TRIULVZ,1,2,5254.857577,400.0000,285.1471,4569.710477,PASS
SRC010_TRIULVZ,1,3,5038.224443,400.0000,655.0000,3983.224443,PASS
SRC010_TRIULVZ,2,3,5491.254381,285.1471,655.0000,4551.107281,PASS
SRC011_TRIULVZ,1,2,5231.373360,240.0000,317.5000,4673.873360,PASS
SRC011_TRIULVZ,1,3,5231.373360,240.0000,240.0000,4751.373360,PASS
SRC011_TRIULVZ,2,3,5231.373360,317.5000,240.0000,4673.873360,PASS
SRC012_TRIULVZ,1,2,5701.703479,240.0000,400.0000,5061.703479,PASS
SRC012_TRIULVZ,1,3,5436.660625,240.0000,240.0000,4956.660625,PASS
SRC012_TRIULVZ,2,3,5298.271053,400.0000,240.0000,4658.271053,PASS
SRC013_TRIULVZ,1,2,4987.849865,240.0000,240.0000,4507.849865,PASS
SRC013_TRIULVZ,1,3,5052.723191,240.0000,655.0000,4157.723191,PASS
SRC013_TRIULVZ,2,3,4794.476194,240.0000,655.0000,3899.476194,PASS
SRC014_TRIULVZ,1,2,4988.874451,240.0000,240.0000,4508.874451,PASS
SRC014_TRIULVZ,1,3,5479.806458,240.0000,400.0000,4839.806458,PASS
SRC014_TRIULVZ,2,3,5736.211249,240.0000,400.0000,5096.211249,PASS
SRC015_TRIULVZ,1,2,5828.831838,268.9706,204.2647,5355.596538,PASS
SRC015_TRIULVZ,1,3,5149.293335,268.9706,240.0000,4640.322735,PASS
SRC015_TRIULVZ,2,3,5479.806458,204.2647,240.0000,5035.541758,PASS
SRC016_TRIULVZ,1,2,5078.103470,240.0000,240.0000,4598.103470,PASS
SRC016_TRIULVZ,1,3,5247.086706,240.0000,240.0000,4767.086706,PASS
SRC016_TRIULVZ,2,3,5052.723190,240.0000,240.0000,4572.723190,PASS
SRC017_TRIULVZ,1,2,5576.485891,240.0000,240.0000,5096.485891,PASS
SRC017_TRIULVZ,1,3,5374.431425,240.0000,240.0000,4894.431425,PASS
SRC017_TRIULVZ,2,3,5689.437311,240.0000,240.0000,5209.437311,PASS
SRC018_TRIULVZ,1,2,5447.024136,400.0000,240.0000,4807.024136,PASS
SRC018_TRIULVZ,1,3,5810.237458,400.0000,400.0000,5010.237458,PASS
SRC018_TRIULVZ,2,3,5982.543387,240.0000,400.0000,5342.543387,PASS
SRC019_TRIULVZ,1,2,5146.586936,240.0000,240.0000,4666.586936,PASS
SRC019_TRIULVZ,1,3,5052.723191,240.0000,240.0000,4572.723191,PASS
SRC019_TRIULVZ,2,3,4904.426223,240.0000,240.0000,4424.426223,PASS
SRC020_TRIULVZ,1,2,5619.765356,400.0000,655.0000,4564.765356,PASS
SRC020_TRIULVZ,1,3,5479.806458,400.0000,655.0000,4424.806458,PASS
SRC020_TRIULVZ,2,3,4848.080583,655.0000,655.0000,3538.080583,PASS
SRC021_TRIULVZ,1,2,5338.053685,188.0882,240.0000,4909.965485,PASS
SRC021_TRIULVZ,1,3,5603.270870,188.0882,240.0000,5175.182670,PASS
SRC021_TRIULVZ,2,3,4988.874451,240.0000,240.0000,4508.874451,PASS
SRC022_TRIULVZ,1,2,5828.831838,655.0000,240.0000,4933.831838,PASS
SRC022_TRIULVZ,1,3,5828.831838,655.0000,240.0000,4933.831838,PASS
SRC022_TRIULVZ,2,3,5531.715405,240.0000,240.0000,5051.715405,PASS
SRC023_TRIULVZ,1,2,4794.476195,400.0000,400.0000,3994.476195,PASS
SRC023_TRIULVZ,1,3,5338.053685,400.0000,655.0000,4283.053685,PASS
SRC023_TRIULVZ,2,3,5592.822615,400.0000,655.0000,4537.822615,PASS
SRC024_TRIULVZ,1,2,5027.362194,240.0000,400.0000,4387.362194,PASS
