instance_id,family_id,parameter_source,old_type,old_tier,source_role,radius_km,thickness_km,dVs_percent,dVp_percent,dRho_percent,lateral_taper_km,top_taper_km,original_endpoint,within_family_interpolation,interpolation_weight,evidence_source,provenance_note
ULVZ001,F_legacy_anchor,legacy_parameter_anchor,C1,core,core,240.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ002,F_legacy_anchor,legacy_parameter_anchor,C1,core,core,240.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ003,F_legacy_anchor,legacy_parameter_anchor,C1,core,core,240.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ004,F_legacy_anchor,legacy_parameter_anchor,C2,core,core,655.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ005,F_legacy_anchor,legacy_parameter_anchor,C2,core,core,655.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ006,F_legacy_anchor,legacy_parameter_anchor,C2,core,core,655.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ007,F_legacy_anchor,legacy_parameter_anchor,C3,core,core,655.0000,50.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ008,F_legacy_anchor,legacy_parameter_anchor,C3,core,core,655.0000,50.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ009,F_legacy_anchor,legacy_parameter_anchor,C3,core,core,655.0000,50.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ010,F_legacy_anchor,legacy_parameter_anchor,C4,core,core,400.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ011,F_legacy_anchor,legacy_parameter_anchor,C4,core,core,400.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ012,F_legacy_anchor,legacy_parameter_anchor,C4,core,core,400.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ013,F_legacy_anchor,legacy_parameter_anchor,C5,core,core,400.0000,15.0000,-25.0000,-10.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ014,F_legacy_anchor,legacy_parameter_anchor,C5,core,core,400.0000,15.0000,-25.0000,-10.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ015,F_legacy_anchor,legacy_parameter_anchor,C5,core,core,400.0000,15.0000,-25.0000,-10.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ016,F_legacy_anchor,legacy_parameter_anchor,C6,core,core,240.0000,15.0000,-10.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ017,F_legacy_anchor,legacy_parameter_anchor,C6,core,core,240.0000,15.0000,-10.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ018,F_legacy_anchor,legacy_parameter_anchor,C6,core,core,240.0000,15.0000,-10.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ019,F_legacy_anchor,legacy_parameter_anchor,C7,core,core,240.0000,15.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ020,F_legacy_anchor,legacy_parameter_anchor,C7,core,core,240.0000,15.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ021,F_legacy_anchor,legacy_parameter_anchor,C7,core,core,240.0000,15.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ022,F_legacy_anchor,legacy_parameter_anchor,H1,heldout,heldout,240.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ023,F_legacy_anchor,legacy_parameter_anchor,H1,heldout,heldout,240.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ024,F_legacy_anchor,legacy_parameter_anchor,H1,heldout,heldout,240.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ025,F_legacy_anchor,legacy_parameter_anchor,H2,heldout,heldout,400.0000,15.0000,-25.0000,-15.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ026,F_legacy_anchor,legacy_parameter_anchor,H2,heldout,heldout,400.0000,15.0000,-25.0000,-15.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ027,F_legacy_anchor,legacy_parameter_anchor,H2,heldout,heldout,400.0000,15.0000,-25.0000,-15.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ028,F_legacy_anchor,legacy_parameter_anchor,X1,challenge,challenge,655.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ029,F_legacy_anchor,legacy_parameter_anchor,X1,challenge,challenge,655.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ030,F_legacy_anchor,legacy_parameter_anchor,X1,challenge,challenge,655.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ031,F_legacy_anchor,legacy_parameter_anchor,X2,challenge,challenge,240.0000,15.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ032,F_legacy_anchor,legacy_parameter_anchor,X2,challenge,challenge,240.0000,15.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ033,F_legacy_anchor,legacy_parameter_anchor,X2,challenge,challenge,240.0000,15.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,true,false,,A+ production type provenance,project sensitivity design; production-compatible circular uniform-body interface
ULVZ034,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-10.4545,0.0000,0.0000,0.0000,0.0000,false,true,0.02272727,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ035,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-11.3636,0.0000,0.0000,0.0000,0.0000,false,true,0.06818182,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ036,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-12.2727,0.0000,0.0000,0.0000,0.0000,false,true,0.11363636,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ037,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-13.1818,0.0000,0.0000,0.0000,0.0000,false,true,0.15909091,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ038,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-14.0909,0.0000,0.0000,0.0000,0.0000,false,true,0.20454545,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ039,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-15.0000,0.0000,0.0000,0.0000,0.0000,false,true,0.25000000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ040,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-15.9091,0.0000,0.0000,0.0000,0.0000,false,true,0.29545455,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ041,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-16.8182,0.0000,0.0000,0.0000,0.0000,false,true,0.34090909,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ042,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-17.7273,0.0000,0.0000,0.0000,0.0000,false,true,0.38636364,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ043,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-18.6364,0.0000,0.0000,0.0000,0.0000,false,true,0.43181818,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ044,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-19.5455,0.0000,0.0000,0.0000,0.0000,false,true,0.47727273,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ045,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-20.4545,0.0000,0.0000,0.0000,0.0000,false,true,0.52272727,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ046,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-21.3636,0.0000,0.0000,0.0000,0.0000,false,true,0.56818182,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ047,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-22.2727,0.0000,0.0000,0.0000,0.0000,false,true,0.61363636,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ048,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-23.1818,0.0000,0.0000,0.0000,0.0000,false,true,0.65909091,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
