run_id,source_id,stage,baseline_pair_id,source_depth_km,strike_deg,dip_deg,rake_deg,m0_dyne_cm,nchunks,nex_xi,nex_eta,nproc_xi,nproc_eta,oceans,ellipticity,topography,gravity,rotation,attenuation,absorbing_conditions,dt_s,record_length_minutes,expected_nstep,expected_npts,station_count,n_ulvz,scratch_path,execution_order,input_hash,preflight_status,body1_instance_id,body1_sector,body1_position_id,body1_latitude_deg,body1_longitude_deg,body1_radius_km,body1_thickness_km,body1_dVs_percent,body1_dVp_percent,body1_dRho_percent,body1_lateral_taper_km,body1_top_taper_km,body2_instance_id,body2_sector,body2_position_id,body2_latitude_deg,body2_longitude_deg,body2_radius_km,body2_thickness_km,body2_dVs_percent,body2_dVp_percent,body2_dRho_percent,body2_lateral_taper_km,body2_top_taper_km,body3_instance_id,body3_sector,body3_position_id,body3_latitude_deg,body3_longitude_deg,body3_radius_km,body3_thickness_km,body3_dVs_percent,body3_dVp_percent,body3_dRho_percent,body3_lateral_taper_km,body3_top_taper_km
SRC001_B0,SRC001,stage1_baseline,SRC001_B0,12.0000,170.0,43.0,-91.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC001_B0/DATABASES_MPI/,1,6ac1a261d55c278184d8eb8cdaef302b0456081a9992ad704cebb0bf6acb5856,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC001_TRIULVZ,SRC001,stage2_multi,SRC001_B0,12.0000,170.0,43.0,-91.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC001_TRIULVZ/DATABASES_MPI/,51,b3b5b8ad1e791ca56c1db5eebd8a147ab83e005ba1f3ff134e7b5e3440382fbb,PASS,ULVZ071,A,A_G07,-2.50000000,52.00000000,400.0000,15.0000,-25.0000,-10.5682,0.0000,0.0000,0.0000,ULVZ120,B,B_G08,-43.20354590,-28.23813616,236.6176,12.0588,-27.9412,0.0000,0.0000,0.0000,0.0000,ULVZ090,C,C_G04,45.53792330,-36.03605854,240.0000,15.6818,-25.6818,0.0000,0.0000,0.0000,0.0000
SRC002_B0,SRC002,stage1_baseline,SRC002_B0,12.0000,234.0,33.0,76.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC002_B0/DATABASES_MPI/,2,df3aabc3ab8561550a29e3f9947bee88bc0ff9dfad23bcf2382fcb093b03a4d0,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC002_TRIULVZ,SRC002,stage2_multi,SRC002_B0,12.0000,234.0,33.0,76.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC002_TRIULVZ/DATABASES_MPI/,52,9d0827fae0dccdaec1b31cc63b059826a7cc0e69f0cc9d7cccc13512ef60d015,PASS,ULVZ096,A,A_G01,-0.50000000,49.50000000,240.0000,18.4091,-28.4091,0.0000,0.0000,0.0000,0.0000,ULVZ068,B,B_G02,-43.74113282,-32.58662529,400.0000,15.0000,-25.0000,-8.5227,0.0000,0.0000,0.0000,ULVZ106,C,C_G05,48.26164894,-40.32564815,240.0000,15.0000,-20.0000,0.0000,7.6471,0.0000,0.0000
SRC003_B0,SRC003,stage1_baseline,SRC003_B0,12.0000,154.0,10.0,27.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC003_B0/DATABASES_MPI/,3,44bb5ae48fe3ab83cb7abb808c17ba754d0fe7031c5afa34a3258284a5843281,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC003_TRIULVZ,SRC003,stage2_multi,SRC003_B0,12.0000,154.0,10.0,27.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC003_TRIULVZ/DATABASES_MPI/,53,a0dd86e09c4e50fe1053acac6db048f63089718b5264efc230a1ec5b736e65ba,PASS,ULVZ011,A,A_G08,2.50000000,50.00000000,400.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,ULVZ139,B,B_G04,-45.53792330,-36.03605854,655.0000,26.3235,-20.0000,0.0000,0.0000,0.0000,0.0000,ULVZ081,C,C_G06,50.19019001,-43.84549898,240.0000,11.5909,-21.5909,0.0000,0.0000,0.0000,0.0000
SRC004_B0,SRC004,stage1_baseline,SRC004_B0,12.0000,108.0,61.0,-14.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC004_B0/DATABASES_MPI/,4,eb454e1aee7ab908cc3108bb00f536a608e7095662213f183697d5e24f81c2b8,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC004_TRIULVZ,SRC004,stage2_multi,SRC004_B0,12.0000,108.0,61.0,-14.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC004_TRIULVZ/DATABASES_MPI/,54,e20165d9e7a8777ab260fd452a3f0794bf2e6bcff7614cc16760ca9b517e55ff,PASS,ULVZ030,A,A_G07,-2.50000000,52.00000000,655.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000,ULVZ060,B,B_G04,-45.53792330,-36.03605854,400.0000,15.0000,-25.0000,-3.0682,0.0000,0.0000,0.0000,ULVZ138,C,C_G08,39.86439939,-33.21280998,655.0000,24.2647,-20.0000,0.0000,0.0000,0.0000,0.0000
SRC005_B0,SRC005,stage1_baseline,SRC005_B0,12.0000,6.0,16.0,86.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC005_B0/DATABASES_MPI/,5,2a45cfc6059da410aed185a3c48fb1c24aae5ea2a5905e443e3be0dbfcdf8e48,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC005_TRIULVZ,SRC005,stage2_multi,SRC005_B0,12.0000,6.0,16.0,86.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC005_TRIULVZ/DATABASES_MPI/,55,33d83a94b8c4633519f568ca38a2c4cfdbc3e7aed129a1cf8731072864e5d176,PASS,ULVZ026,A,A_G05,0.00000000,59.50000000,400.0000,15.0000,-25.0000,-15.0000,0.0000,0.0000,0.0000,ULVZ038,B,B_G03,-38.91690376,-27.78430053,240.0000,15.0000,-14.0909,0.0000,0.0000,0.0000,0.0000,ULVZ001,C,C_G07,44.71634893,-30.05173316,240.0000,15.0000,-20.0000,0.0000,0.0000,0.0000,0.0000
