run_id,source_id,stage,run_kind,baseline_pair_id,n_ulvz,composition_summary,station_count,expected_trace_count,expected_npts,scratch_database_path,execution_order,run_relative_path,par_file_sha256,cmtsolution_sha256,stations_sha256,ulvz_file_sha256
SRC001_B0,SRC001,stage1_baseline,baseline,SRC001_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC001_B0/DATABASES_MPI/,1,production_inputs/SRC001_B0,53e7d77356ece41637965c8b80ef10e8d2337d185b0970a5c310abbda396856b,0d67c9f21de70af6d7d6e880c0ad0f26ebcc2bdcf3622c4025a61d227f9348f8,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC001_TRIULVZ,SRC001,stage2_multi,tri_ulvz,SRC001_B0,3,A:ULVZ071:family_interpolant;B:ULVZ120:survey_family_sample;C:ULVZ090:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC001_TRIULVZ/DATABASES_MPI/,51,production_inputs/SRC001_TRIULVZ,1e1d4c7eca687acdaa40cdebd1f79a76ab43b88786b96736ecf8c8d7c542059b,0d67c9f21de70af6d7d6e880c0ad0f26ebcc2bdcf3622c4025a61d227f9348f8,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,ce5f933977b0172d43961c71079a45be77e2665dc6ada822278be7183170f887
SRC002_B0,SRC002,stage1_baseline,baseline,SRC002_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC002_B0/DATABASES_MPI/,2,production_inputs/SRC002_B0,c3de92e7d37868a7e705769b3febd500ffa6f4a2101ad47019dc148a28918e11,b57c2f0e92672ecdfde9f8a96dd42910a8de503e25627df45d8d980041ab6a53,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC002_TRIULVZ,SRC002,stage2_multi,tri_ulvz,SRC002_B0,3,A:ULVZ096:family_interpolant;B:ULVZ068:family_interpolant;C:ULVZ106:survey_family_sample,510,1530,25400,/scratch/yiy/ulvz/SRC002_TRIULVZ/DATABASES_MPI/,52,production_inputs/SRC002_TRIULVZ,11f7ec4770bc672bb5a0064ec43073a1762cc97766a29e8a862db100e4156dd2,b57c2f0e92672ecdfde9f8a96dd42910a8de503e25627df45d8d980041ab6a53,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,18c3e9c4146790635652a2ce7fff28734125355d67bc7564192fb401ac30bc0b
SRC003_B0,SRC003,stage1_baseline,baseline,SRC003_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC003_B0/DATABASES_MPI/,3,production_inputs/SRC003_B0,3ff51e844cc086d1e5b8443fc6a8acc8432d31a60bff5bdab41642f8db40ab84,fe76c634c8b6c6cf22f07cc4f27d6ff521d77c73124fa3803b901f23a5ed698c,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC003_TRIULVZ,SRC003,stage2_multi,tri_ulvz,SRC003_B0,3,A:ULVZ011:legacy_parameter_anchor;B:ULVZ139:survey_family_sample;C:ULVZ081:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC003_TRIULVZ/DATABASES_MPI/,53,production_inputs/SRC003_TRIULVZ,e90b61b9320d1744bae949a5f087f19e3415fe75bd70816e584d338fc2725f1c,fe76c634c8b6c6cf22f07cc4f27d6ff521d77c73124fa3803b901f23a5ed698c,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,632286adbf76badb69a0438bde0160737020e5b128acfb0a21c7af4fa7bca778
SRC004_B0,SRC004,stage1_baseline,baseline,SRC004_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC004_B0/DATABASES_MPI/,4,production_inputs/SRC004_B0,24828f7ca75bc26c4751942ea40f45d6c736077d6b982f2c94557c4705ba1f59,dd00f1da5d71d1da5b1c9743dc6f3c675eacde8da61948142a8f160825c16612,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC004_TRIULVZ,SRC004,stage2_multi,tri_ulvz,SRC004_B0,3,A:ULVZ030:legacy_parameter_anchor;B:ULVZ060:family_interpolant;C:ULVZ138:survey_family_sample,510,1530,25400,/scratch/yiy/ulvz/SRC004_TRIULVZ/DATABASES_MPI/,54,production_inputs/SRC004_TRIULVZ,3f6a8259aaed4fa1c148b8c64120b6eeef88cfb258e59cf612f53369c8d0e7d7,dd00f1da5d71d1da5b1c9743dc6f3c675eacde8da61948142a8f160825c16612,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,3525648cde5899f5fbcc135e51a657eee7720a37ae0909cab583374afa9c7f88
SRC005_B0,SRC005,stage1_baseline,baseline,SRC005_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC005_B0/DATABASES_MPI/,5,production_inputs/SRC005_B0,8d47c58c5ec18f1060a83c50ab0dc0af2ec62735ccf9070479df181c5c624a16,ca0441110200b0a2d59d81ac0d99adaa6cf95bc675e2da60d61ec99a16e0a2d1,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC005_TRIULVZ,SRC005,stage2_multi,tri_ulvz,SRC005_B0,3,A:ULVZ026:legacy_parameter_anchor;B:ULVZ038:family_interpolant;C:ULVZ001:legacy_parameter_anchor,510,1530,25400,/scratch/yiy/ulvz/SRC005_TRIULVZ/DATABASES_MPI/,55,production_inputs/SRC005_TRIULVZ,b6a7166144a01fd3f7b2fd1544676d290635ccf53c9d83403be7862cfc9d3d17,ca0441110200b0a2d59d81ac0d99adaa6cf95bc675e2da60d61ec99a16e0a2d1,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,56f82fa6a9581f1f4ee128a8035ea0bbce43505df47b27f4f48af0eeffd50fdc
